service_id,date,exception_type
B92047AVVKZ-0061,20200426,1
B92047AVVKZ-0061,20200501,1
B92047AVVKZ-0061,20200503,1
B92047AVVKZ-0061,20200510,1
B92047AVVKZ-0061,20200517,1
B92047AVVKZ-0061,20200524,1
B92047AVVKZ-0061,20200531,1
B92047AVVKZ-0061,20200601,1
B92047AVVKZ-0091,20200426,1
B92047AVVKZ-0091,20200501,1
B92047AVVKZ-0091,20200503,1
B92047AVVKZ-0091,20200510,1
B92047AVVKZ-0091,20200517,1
B92047AVVKZ-0091,20200524,1
B92047AVVKZ-0091,20200531,1
B92047AVVKZ-0091,20200601,1
B92158ASZRG-0021,20200425,1
B92158ASZRG-0021,20200502,1
B92158ASZRG-0021,20200509,1
B92158ASZRG-0021,20200516,1
B92158ASZRG-0021,20200523,1
B92158ASZRG-0021,20200530,1
B92162AVVRG-0021,20200426,1
B92162AVVRG-0021,20200503,1
B92162AVVRG-0021,20200510,1
B92162AVVRG-0021,20200517,1
B92162AVVRG-0021,20200524,1
B92162AVVRG-0021,20200531,1
B92286K1HCKZ-0061,20200422,1
B92286K1HCKZ-0061,20200423,1
B92286K1HCKZ-0061,20200427,1
B92286K1HCKZ-0061,20200428,1
B92286K1HCKZ-0061,20200429,1
B92286K1HCKZ-0061,20200504,1
B92286K1HCKZ-0061,20200505,1
B92286K1HCKZ-0061,20200506,1
B92286K1HCKZ-0061,20200507,1
B92286K1HCKZ-0061,20200511,1
B92286K1HCKZ-0061,20200512,1
B92286K1HCKZ-0061,20200513,1
B92286K1HCKZ-0061,20200514,1
B92286K1HCKZ-0061,20200518,1
B92286K1HCKZ-0061,20200519,1
B92286K1HCKZ-0061,20200520,1
B92286K1HCKZ-0061,20200521,1
B92286K1HCKZ-0061,20200525,1
B92286K1HCKZ-0061,20200526,1
B92286K1HCKZ-0061,20200527,1
B92286K1HCKZ-0061,20200528,1
B92286K1HCKZ-0091,20200422,1
B92286K1HCKZ-0091,20200423,1
B92286K1HCKZ-0091,20200427,1
B92286K1HCKZ-0091,20200428,1
B92286K1HCKZ-0091,20200429,1
B92286K1HCKZ-0091,20200504,1
B92286K1HCKZ-0091,20200505,1
B92286K1HCKZ-0091,20200506,1
B92286K1HCKZ-0091,20200507,1
B92286K1HCKZ-0091,20200511,1
B92286K1HCKZ-0091,20200512,1
B92286K1HCKZ-0091,20200513,1
B92286K1HCKZ-0091,20200514,1
B92286K1HCKZ-0091,20200518,1
B92286K1HCKZ-0091,20200519,1
B92286K1HCKZ-0091,20200520,1
B92286K1HCKZ-0091,20200521,1
B92286K1HCKZ-0091,20200525,1
B92286K1HCKZ-0091,20200526,1
B92286K1HCKZ-0091,20200527,1
B92286K1HCKZ-0091,20200528,1
B92289K1PPKZ-0061,20200424,1
B92289K1PPKZ-0061,20200430,1
B92289K1PPKZ-0061,20200508,1
B92289K1PPKZ-0061,20200515,1
B92289K1PPKZ-0061,20200522,1
B92289K1PPKZ-0061,20200529,1
B92289K1PPKZ-0091,20200424,1
B92289K1PPKZ-0091,20200430,1
B92289K1PPKZ-0091,20200508,1
B92289K1PPKZ-0091,20200515,1
B92289K1PPKZ-0091,20200522,1
B92289K1PPKZ-0091,20200529,1
B92352K1HCMAA-051,20200422,1
B92352K1HCMAA-051,20200423,1
B92352K1HCMAA-051,20200427,1
B92352K1HCMAA-051,20200428,1
B92352K1HCMAA-051,20200429,1
B92352K1HCMAA-051,20200504,1
B92352K1HCMAA-051,20200505,1
B92352K1HCMAA-051,20200506,1
B92352K1HCMAA-051,20200507,1
B92352K1HCMAA-051,20200511,1
B92352K1HCMAA-051,20200512,1
B92352K1HCMAA-051,20200513,1
