pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
LM4KFA-LM4KF2,3,LM4KFA,LM4KF2,60,120
LM1KKV-F01095,1,LM1KKV,F01095,30,-1
LM4KFA-LM4KF1,3,LM4KFA,LM4KF1,30,90
LMXKPJ-LM4KP3,3,LMXKPJ,LM4KP3,30,-1
LMXKPJ-LM4KP2,3,LMXKPJ,LM4KP2,30,-1
LM2DP1-F00094,1,LM2DP1,F00094,60,-1
L056213-056230,1,L056213,056230,60,90
LM3DF1-LMXDFD,3,LM3DF1,LMXDFD,60,-1
LM3DF1-LMXDFE,3,LM3DF1,LMXDFE,60,-1
LM3DF1-LMXDFB,3,LM3DF1,LMXDFB,60,-1
LM3DF1-LMXDFC,3,LM3DF1,LMXDFC,30,-1
F00960-F00962,2,F00960,F00962,120,-1
LM2BLI-LM2BL1,3,LM2BLI,LM2BL1,30,-1
LM4MK2-056222,1,LM4MK2,056222,30,-1
F00960-F00963,2,F00960,F00963,120,-1
LM4MK2-056221,1,LM4MK2,056221,30,-1
LM2BL1-LM2BLD,3,LM2BL1,LM2BLD,30,-1
LM2BL1-LM2BLC,3,LM2BL1,LM2BLC,30,-1
LM1SFV-F02696,1,LM1SFV,F02696,30,-1
LM2BL1-LM2BLB,3,LM2BL1,LM2BLB,30,-1
LM2BL1-LM2BLA,3,LM2BL1,LM2BLA,30,-1
LM4KF1-056216,1,LM4KF1,056216,30,-1
LM3AH1-F02637,1,LM3AH1,F02637,30,60
LM2OVE-LM2OV1,3,LM2OVE,LM2OV1,30,-1
F00955-LM3DF1,1,F00955,LM3DF1,30,-1
LM3CN1-LM3CND,3,LM3CN1,LM3CND,30,-1
LM3CN1-LM3CNC,3,LM3CN1,LM3CNC,30,-1
LM3CN1-LM3CNB,3,LM3CN1,LM3CNB,30,-1
LM3CN1-LM3CNA,3,LM3CN1,LM3CNA,30,-1
F00936-LM3NY2,1,F00936,LM3NY2,60,-1
056228-LM4KV2,1,056228,LM4KV2,90,90
F00936-LM3NY1,1,F00936,LM3NY1,60,-1
056228-LM4KV1,1,056228,LM4KV1,60,-1
LM2BLA-LM2BL1,3,LM2BLA,LM2BL1,30,-1
LM3LE1-LM3LEI,3,LM3LE1,LM3LEI,30,-1
LM4BP1-056217,1,LM4BP1,056217,90,90
LM1HTV-F01102,1,LM1HTV,F01102,30,-1
LM3LE1-LM3LEE,3,LM3LE1,LM3LEE,30,-1
LM3LE1-LM3LEF,3,LM3LE1,LM3LEF,30,-1
LM4BP1-056218,1,LM4BP1,056218,90,90
LM3CNA-LM3CN1,3,LM3CNA,LM3CN1,30,-1
LM3LE1-LM3LEG,3,LM3LE1,LM3LEG,30,-1
LM3CNI-LM3CN1,3,LM3CNI,LM3CN1,60,-1
LM3LE1-LM3LEH,3,LM3LE1,LM3LEH,30,-1
LM4KF2-LM4KFC,3,LM4KF2,LM4KFC,120,-1
LM4KF2-LM4KFB,3,LM4KF2,LM4KFB,120,-1
LM4KF2-LM4KFD,3,LM4KF2,LM4KFD,150,-1
LM4KF2-LM4KFA,3,LM4KF2,LM4KFA,60,120
056228-F01290,2,056228,F01290,120,-1
L008162-F02684,1,L008162,F02684,30,60
L008162-F02685,1,L008162,F02685,30,60
LM4KP2-LMXKPL,3,LM4KP2,LMXKPL,90,-1
F00997-LM1BZM,1,F00997,LM1BZM,30,-1
LM4KP2-LMXKPM,3,LM4KP2,LMXKPM,90,-1
LM4KP2-LMXKPJ,3,LM4KP2,LMXKPJ,30,-1
LM4KP2-LMXKPK,3,LM4KP2,LMXKPK,60,120
LM4KP2-LMXKPN,3,LM4KP2,LMXKPN,90,-1
LM4KP2-LMXKPD,3,LM4KP2,LMXKPD,30,-1
LM4KP2-LMXKPE,3,LM4KP2,LMXKPE,30,-1
LM4KP2-LMXKPB,3,LM4KP2,LMXKPB,30,-1
LM4KP2-LMXKPC,3,LM4KP2,LMXKPC,30,-1
056228-F01289,2,056228,F01289,120,-1
F00954-F00963,2,F00954,F00963,120,-1
LM4KP2-LMXKPH,3,LM4KP2,LMXKPH,30,-1
LM4KP2-LMXKPI,3,LM4KP2,LMXKPI,30,-1
F00954-F00961,2,F00954,F00961,90,-1
LM4KP2-LMXKPF,3,LM4KP2,LMXKPF,30,90
F00954-F00962,2,F00954,F00962,120,-1
LMXDFD-LM2DF1,3,LMXDFD,LM2DF1,60,-1
LM4KP2-LMXKPG,3,LM4KP2,LMXKPG,30,-1
LM2AS1-LM2ASJ,3,LM2AS1,LM2ASJ,30,-1
F02480-LM2SZ1,1,F02480,LM2SZ1,60,-1
F00954-F00960,2,F00954,F00960,90,-1
LM2AS1-LM2ASI,3,LM2AS1,LM2ASI,30,-1
056222-LM4MK2,1,056222,LM4MK2,30,-1
LM4KF4-056216,1,LM4KF4,056216,30,-1
F02683-L008159,1,F02683,L008159,30,60
056222-LM4MK3,1,056222,LM4MK3,60,60
LM2AS1-LM2ASF,3,LM2AS1,LM2ASF,30,-1
056222-LM4MK1,1,056222,LM4MK1,30,-1
LM2AS1-LM2ASE,3,LM2AS1,LM2ASE,30,-1
LM4KP2-LMXKPA,3,LM4KP2,LMXKPA,30,-1
LM2AS1-LM2ASH,3,LM2AS1,LM2ASH,30,-1
LM2AS1-LM2ASG,3,LM2AS1,LM2ASG,30,-1
LM1HTM-F01103,1,LM1HTM,F01103,30,-1
056224-LM4SG1,1,056224,LM4SG1,60,-1
056224-LM4SG2,1,056224,LM4SG2,90,90
F00912-L008186,1,F00912,L008186,30,60
F01188-LM3CN1,1,F01188,LM3CN1,60,-1
056215-LM4KF4,1,056215,LM4KF4,30,-1
056215-LM4KF3,1,056215,LM4KF3,120,120
LM3DGD-LM3DG1,3,LM3DGD,LM3DG1,30,-1
056215-LM4KF2,1,056215,LM4KF2,60,120
056215-LM4KF1,1,056215,LM4KF1,30,-1
LM2AS1-LM2ASB,3,LM2AS1,LM2ASB,30,-1
LM2AS1-LM2ASA,3,LM2AS1,LM2ASA,30,-1
LM2AS1-LM2ASD,3,LM2AS1,LM2ASD,30,-1
LM1VUM-F01093,1,LM1VUM,F01093,30,-1
LM4FT2-056226,1,LM4FT2,056226,90,90
LM2AS1-LM2ASC,3,LM2AS1,LM2ASC,30,-1
LMXKPE-LM4KP2,3,LMXKPE,LM4KP2,30,-1
LMXKPE-LM4KP3,3,LMXKPE,LM4KP3,30,-1
LMXKPA-LM4KP2,3,LMXKPA,LM4KP2,30,-1
LMXKPA-LM4KP3,3,LMXKPA,LM4KP3,30,-1
LM4FT2-056225,1,LM4FT2,056225,90,90
LM2OVC-LM2OV1,3,LM2OVC,LM2OV1,30,-1
056217-LM4BP2,1,056217,LM4BP2,60,-1
F01336-LM2KP1,1,F01336,LM2KP1,30,-1
056217-LM4BP1,1,056217,LM4BP1,90,90
F01335-LM4KP3,1,F01335,LM4KP3,30,-1
LM4MKI-LM4MK2,3,LM4MKI,LM4MK2,60,-1
F00897-L008163,1,F00897,L008163,30,60
LM4MKI-LM4MK1,3,LM4MKI,LM4MK1,60,-1
L008163-F00897,1,L008163,F00897,30,60
LMXDFD-LM1DF3,3,LMXDFD,LM1DF3,60,-1
L008163-F00898,1,L008163,F00898,30,60
LM4KVD-LM4KV1,3,LM4KVD,LM4KV1,30,-1
LM4KVE-LM4KV2,3,LM4KVE,LM4KV2,60,-1
LM4KVE-LM4KV1,3,LM4KVE,LM4KV1,60,-1
LM4KVD-LM4KV2,3,LM4KVD,LM4KV2,30,-1
LMXKPL-LM2KP1,3,LMXKPL,LM2KP1,90,-1
F01292-LM2BL1,1,F01292,LM2BL1,60,-1
F01291-LM2BL1,1,F01291,LM2BL1,60,-1
F02697-LM1SFM,1,F02697,LM1SFM,30,-1
LM4SG2-056224,1,LM4SG2,056224,90,90
LM2ASG-LM2AS1,3,LM2ASG,LM2AS1,30,-1
F02696-LM1SFV,1,F02696,LM1SFV,30,-1
LM2PU1-F01742,1,LM2PU1,F01742,30,30
LM3NYH-LM3NY2,3,LM3NYH,LM3NY2,120,-1
LM4SG1-056224,1,LM4SG1,056224,60,-1
LM3NYH-LM3NY1,3,LM3NYH,LM3NY1,30,-1
LM3NYG-LM3NY2,3,LM3NYG,LM3NY2,120,-1
LM4SG1-056223,1,LM4SG1,056223,60,-1
LM4SG2-056223,1,LM4SG2,056223,90,90
LMXKPG-LM2KP1,3,LMXKPG,LM2KP1,30,-1
LM3NYG-LM3NY1,3,LM3NYG,LM3NY1,30,-1
LM3NYM-LM3NY2,3,LM3NYM,LM3NY2,150,-1
LM3NYM-LM3NY1,3,LM3NYM,LM3NY1,60,-1
